DateTime,DataType,A,AA,AAL,AAON,AAP,AAPL,ABBV,ABNB,ABT,ACGL,ACHC,ACI,ACM,ACN,ADBE,ADC,ADI,ADM,ADP,ADSK,ADT,AEE,AEP,AES,AFG,AFL,AFRM,AGCO,AGNC,AGO,AIG,AIQ,AIZ,AJG,AKAM,AL,ALAB,ALB,ALGM,ALGN,ALK,ALL,ALLE,ALLY,ALNY,ALSN,AM,AMAT,AMCR,AMD,AME,AMED,AMG,AMGN,AMH,AMKR,AMLP,AMP,AMT,AMZN,AN,ANET,ANGI,AON,AOS,APA,APD,APG,APH,APLS,APO,APP,APPF,APTV,AR,ARE,ARES,ARGT,ARMK,ARW,AS,ASH,ATI,ATO,ATR,AVB,AVGO,AVT,AVTR,AVY,AWI,AWK,AXON,AXP,AXS,AXTA,AYI,AZO,AZTA,BA,BAC,BAESY,BAH,BALL,BAX,BBWI,BBY,BC,BDX,BEN,BEPC,BFAM,BG,BHF,BIIB,BILL,BIO,BIRK,BJ,BK,BKLN,BKNG,BKR,BLD,BLDR,BLK,BMRN,BMY,BOKF,BPOP,BR,BRBR,BRKR,BRO,BROS,BRX,BSX,BSY,BURL,BWA,BWXT,BX,BXP,BYD,C,CACC,CACI,CAG,CAH,CAR,CARR,CART,CASY,CAT,CAVA,CB,CBOE,CBRE,CBSH,CC,CCCS,CCI,CCK,CCL,CDNS,CDW,CDX,CE,CEG,CELH,CERT,CF,CFG,CFLT,CFR,CG,CGNX,CHD,CHDN,CHE,CHH,CHRD,CHRW,CHTR,CI,CIEN,CINF,CIVI,CL,CLF,CLH,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNA,CNC,CNH,CNM,CNP,CNXC,COF,COHR,COIN,COKE,COLB,COLD,COLM,COO,COP,COR,COST,CPAY,CPB,CPNG,CPRI,CPRT,CPT,CR,CRH,CRI,CRL,CRM,CROX,CRUS,CRWD,CSCO,CSGP,CSL,CSX,CTAS,CTRA,CTSH,CTVA,CUBE,CUZ,CVNA,CVS,CVX,CW,CWEN,CXT,CZR,D,DAL,DAR,DASH,DAY,DBX,DCI,DD,DDOG,DDS,DE,DECK,DELL,DG,DGX,DHI,DHR,DINO,DIS,DJT,DKNG,DKS,DLB,DLR,DLTR,DNB,DOC,DOCS,DOCU,DOV,DOW,DOX,DPZ,DRI,DT,DTE,DTM,DUK,DUOL,DV,DVA,DVN,DXC,DXCM,EA,EBAY,ECL,ED,EEFT,EFX,EG,EGP,EHC,EIX,EL,ELAN,ELF,ELS,ELV,EME,EMN,EMR,ENOV,ENPH,ENTG,EOG,EPAM,EPR,EQH,EQIX,EQR,EQT,ERIE,ES,ESAB,ESI,ESS,ESTC,ETN,ETR,ETSY,EUAD,EUFN,EVR,EVRG,EW,EWBC,EWG,EWI,EWP,EXAS,EXC,EXE,EXEL,EXP,EXPD,EXPE,EXR,F,FAF,FANG,FAST,FAZ,FBIN,FCN,FCNCA,FCX,FDS,FDX,FE,FERG,FFIV,FHB,FHN,FI,FICO,FIS,FITB,FIVE,FIVN,FIX,FLO,FLS,FMC,FNB,FND,FNF,FOUR,FOX,FR,FRPT,FRT,FSLR,FTEC,FTI,FTNT,FTRE,FTV,FWONA,FWONK,FYBR,G,GAP,GD,GDDY,GE,GEHC,GEN,GEV,GFS,GGG,GILD,GIS,GL,GLOB,GLPI,GLW,GM,GME,GMED,GNRC,GNTX,GO,GOOG,GPC,GPK,GPN,GRAL,GRMN,GS,GTES,GTLB,GWRE,GWW,GXO,H,HAL,HAS,HAYW,HBAN,HCA,HD,HEI,HHH,HIG,HII,HIW,HLI,HLT,HOG,HOLX,HON,HOOD,HPE,HPQ,HR,HRB,HRL,HSIC,HST,HSY,HUBB,HUBS,HUM,HUN,HWM,HXL,HYG,IAC,IAI,IBKR,IBM,ICE,IDA,IDXX,IETC,IEX,IFF,IGV,IJR,ILMN,INCY,INFA,INGR,INSP,INTC,INTU,INVH,IONS,IP,IPG,IPGP,IQV,IR,IRDM,IRM,ISRG,IT,ITA,ITT,ITW,IVZ,IWY,IXG,J,JAZZ,JBHT,JBL,JCI,JEF,JEPI,JEPQ,JHG,JKHY,JLL,JNJ,JPM,K,KBR,KD,KDP,KEX,KEY,KEYS,KHC,KIM,KKR,KLAC,KMB,KMI,KMPR,KMX,KNSL,KNX,KO,KR,KRC,KSS,KVUE,L,LAD,LAMR,LAZ,LBRDA,LBTYA,LDOS,LEA,LECO,LEG,LEN,LFUS,LH,LHX,LII,LIN,LITE,LKQ,LLY,LLYVK,LMT,LNC,LNG,LNT,LNW,LOAR,LOPE,LOW,LPLA,LPX,LQD,LRCX,LSCC,LSTR,LULU,LUV,LVS,LW,LYB,LYFT,LYV,M,MA,MAA,MAN,MANH,MAR,MAS,MASI,MAT,MCD,MCHP,MCK,MCO,MDB,MDLZ,MDT,MDU,MEDP,MET,META,MGM,MHK,MIDD,MKC,MKL,MKSI,MKTX,MLM,MMC,MMM,MNST,MO,MOH,MORN,MOS,MP,MPC,MPWR,MRK,MRNA,MRVL,MS,MSA,MSCI,MSFT,MSGS,MSI,MSM,MSTR,MTB,MTCH,MTD,MTDR,MTG,MTN,MTSI,MTZ,MU,MUSA,NATO,NCLH,NCNO,NDAQ,NDSN,NEE,NEM,NET,NEU,NFG,NFLX,NI,NKE,NLY,NNN,NOC,NOV,NOW,NRG,NSA,NSC,NTAP,NTNX,NTRA,NTRS,NU,NUE,NVDA,NVDL,NVDQ,NVDU,NVR,NVST,NVT,NWS,NWSA,NXST,NYT,O,OC,ODFL,OGE,OGN,OHI,OKE,OKTA,OLED,OLLI,OLN,OMC,OMF,ON,ONTO,ORCL,ORI,ORLY,OSK,OTIS,OVV,OWL,OXY,OZK,PAG,PANW,PATH,PAYC,PAYX,PB,PCAR,PCG,PCOR,PCTY,PEG,PEGA,PEN,PENN,PEP,PFE,PFG,PFGC,PFRL,PG,PGR,PH,PHM,PII,PINC,PINS,PK,PKG,PLD,PLNT,PLTR,PM,PNC,PNFP,PNR,PNW,PODD,POOL,POST,PPA,PPC,PPG,PPL,PR,PRGO,PRI,PRU,PSA,PSN,PSTG,PSX,PTC,PVH,PWR,PYPL,QCOM,QDEL,QGEN,QQQ,QRVO,QS,QTUM,R,RARE,RBA,RBC,RBLX,RCL,REG,REGN,REXR,REYN,RF,RGA,RGEN,RGLD,RH,RHI,RITM,RIVN,RJF,RKT,RL,RLI,RMD,RNG,RNMBY,RNR,ROIV,ROK,ROKU,ROL,ROP,ROST,RPM,RPRX,RRC,RRX,RS,RSG,RTX,RVTY,RYAN,RYCEY,RYN,S,SAIA,SAIC,SAM,SBAC,SBUX,SCCO,SCHW,SCI,SEB,SEE,SEIC,SF,SGI,SHC,SHLD,SHW,SIRI,SITE,SJM,SKX,SLB,SLGN,SLM,SMCI,SMG,SN,SNA,SNDR,SNOW,SNPS,SNV,SNX,SO,SOFI,SOLV,SON,SOXL,SOXS,SOXX,SPB,SPG,SPGI,SPOT,SPR,SPXS,SPY,SQQQ,SRE,SRPT,SSD,SSNC,ST,STAG,STE,STLD,STT,STWD,STZ,SUI,SWK,SWKS,SYF,SYK,SYY,T,TAP,TDC,TDG,TDY,TEAM,TECH,TER,TFC,TFSL,TFX,TGT,THC,THG,THLLY,THO,TJX,TKO,TKR,TMO,TMUS,TNL,TOL,TOST,TPG,TPL,TPR,TREX,TRGP,TRIP,TRMB,TROW,TRU,TRV,TSCO,TSLA,TSLL,TSLZ,TSN,TT,TTC,TTD,TTEK,TTWO,TW,TWLO,TXG,TXN,TXRH,TXT,TYL,TZA,U,UA,UAA,UAL,UBER,UDR,UGI,UHAL,UHS,UI,ULTA,UNH,UNM,UNP,UPS,URI,USB,USFD,UTHR,V,VAC,VEEV,VFC,VGT,VICI,VIRT,VKTX,VLO,VLTO,VMC,VMI,VNO,VNOM,VNT,VOYA,VRSK,VRSN,VRT,VRTX,VST,VTI,VTR,VTRS,VVV,VWRA.L,VYMI,VZ,W,WAB,WAL,WAT,WBA,WBD,WBS,WCC,WDAY,WDC,WEC,WELL,WEN,WEX,WFC,WFRD,WH,WHR,WING,WLK,WM,WMB,WMS,WMT,WPC,WRB,WSC,WSM,WSO,WST,WTFC,WTM,WTRG,WTW,WU,WWD,WY,WYNN,XEL,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XMMO,XOM,XP,XPO,XRAY,XSD,XYL,XYZ,YETI,YUM,Z,ZBH,ZBRA,ZG,ZION,ZM,ZS,ZTS
2025-10-15 15:13:52,OpenPrices,13947,3615,1223,10403,5582,24954,22777,12509,12891,9144,2489,1903,13339,24426,33295,7393,23651,6292,28738,30834,860,10479,11904,1492,13732,11155,7375,10873,1000,8228,8266,5036,21959,30251,7427,6363,16671,9712,2790,13019,4898,20556,17630,3986,47252,8268,1834,22103,810,22533,18639,10099,24213,29382,3309,3062,4590,48912,18729,21670,22038,14271,1425,35838,6937,2329,26297,3482,12647,2449,12856,59940,22610,8336,3204,7678,15330,7319,3995,11657,3229,4935,8561,17953,12965,18635,34966,5222,1392,16051,20087,14255,70314,33451,9803,2756,36721,405788,3186,21360,5209,10344,9774,4816,2291,2611,7863,6371,18819,2318,4000,9850,9027,4992,14325,4972,30808,4269,9529,10767,2085,527099,4512,44125,12938,121496,5236,4370,11285,12383,23560,3543,3732,9487,5414,2712,9695,5093,27913,4204,20972,16500,7167,8432,9988,50649,51246,1854,15462,15526,5815,3965,56851,53024,6564,28241,24122,15582,5847,1424,939,9801,9111,2915,32654,15053,2285,4091,41130,6243,1225,8662,5157,2271,12885,6008,4553,8666,8846,43390,10140,9137,12734,26667,29589,17091,15801,2885,7825,1386,23705,11885,7934,3008,27051,4257,42304,7472,4708,3559,1023,5308,3990,4557,21532,11113,33896,12804,2642,1364,5256,7072,8812,31849,95818,29322,3022,3211,2091,4481,10271,18174,12064,3163,17146,23995,8407,12266,48714,6933,7530,33012,3619,18874,2348,6720,6261,4143,2688,35800,8091,15338,56740,3222,6755,2239,6187,6126,3191,27416,6822,2872,8242,7908,15837,62129,45100,9962,15149,10502,18615,15764,20910,5333,11210,1630,3547,23550,6929,17535,9548,915,1832,6786,6901,16417,2218,8381,42355,19004,4808,14265,11223,12885,33650,1111,12680,3296,1333,6556,20034,9264,27448,10259,8784,22862,35448,17370,12347,5712,9555,2020,13463,6236,34940,68433,6065,13147,3141,3853,9317,10915,14629,5526,4988,82550,6265,5484,31682,7178,12174,2559,26025,8165,38276,9780,7341,4435,3382,32395,7875,7323,10323,4157,5043,4910,6120,4784,10285,3997,23891,11728,22391,15028,1165,6007,14291,4245,4133,5000,15750,178314,4195,29088,23557,4770,23952,33995,2452,2247,12462,164493,6733,4318,15357,2225,83500,1265,5100,3090,1606,7119,5671,7764,5226,5304,5162,9811,23462,22416,3609,8377,972,4918,9409,10272,3748,3983,2130,33878,13201,30300,7304,2702,64694,3520,8247,11820,4838,13988,5923,4476,8581,5726,2346,5850,19019,2610,1552,24679,13458,1741,8654,7088,25272,77160,2527,4468,24222,96130,5465,14794,2268,7368,1557,1624,42002,39008,31525,8090,13024,29343,3020,19429,26892,2718,6597,20678,13594,2534,2854,1845,5197,2408,6349,1646,19072,43495,46599,25968,833,19566,6305,8070,3358,17489,6974,28164,15849,13577,64098,10271,16325,6230,11407,11929,9336,8611,2489,12241,7863,3586,65561,2869,7176,4692,2712,8461,20621,7754,1908,10588,43729,24507,21211,17400,24884,2379,27289,11501,15971,13440,13915,20484,10966,5480,5709,5729,4439,15453,29473,19208,30843,8288,4507,2787,2673,8396,1799,16504,2541,2159,12723,105708,12103,2766,4905,4454,46542,4410,6754,6924,4098,1546,1651,10225,31230,12185,4989,6164,1107,18854,10094,24012,887,12303,26326,28127,29999,53436,46056,15904,3003,81478,8865,50372,4018,22878,6848,8003,8138,21321,24322,32730,9311,11241,14234,7201,12751,16941,3352,4878,6439,4700,2045,15411,1785,56709,13242,3806,19991,26806,6861,14765,1802,30875,6440,78500,48303,31436,6222,9639,1934,51541,8303,71718,3249,12686,13459,6608,194651,13519,17264,65402,20555,15352,6870,6555,19179,22384,3019,9092,18424,100068,8425,2679,8690,16565,16785,55136,51423,22321,45972,8652,30042,18651,3280,132979,4324,2777,15272,13485,20141,18952,38399,3870,2376,2462,9028,23556,8603,9214,21868,78590,8688,120725,4348,6911,2073,4244,62449,1276,91728,17086,3151,29083,12200,6786,17518,13022,1487,13853,18117,8737,96,12226,774438,1961,10129,3010,2687,19723,5510,5888,12968,13549,4709,966,3977,7031,8917,14446,12904,2474,7953,5603,5027,13342,30718,4335,10351,13537,9171,3742,1716,4221,5113,17200,20752,1672,20032,12879,6620,9535,1647,7234,15142,8501,5584,25494,1732,15191,2439,8164,10442,4965,14922,22187,74249,12572,6998,2799,3354,1106,21069,12039,9499,18177,15935,18283,9126,11122,9385,31636,29458,10785,15744,3842,10038,3815,1233,2175,27305,10441,30529,8660,9447,13185,20267,8490,43816,6907,16138,2625,4752,60167,8883,1679,11211,18149,3213,10604,38175,14077,31677,7239,57233,4190,2389,2503,19608,15236,20214,18320,3236,1103,1325,16460,1714,32333,6372,26991,2724,41783,26283,1660,34884,9598,5684,50833,15704,11526,3606,3676,14491,27586,22387,16013,9215,5614,1506,2454,1697,30193,9839,22254,19243,8215,13174,9416,8222,342737,3429,8397,11244,8702,1611,6796,33578,2191,12113,10294,6313,3237,4351,2648,5379,5618,9375,33657,2260,24075,44279,4750,15581,10004,2841,7228,3972,3839,428,28347,5140,17817,49021,68269,3854,3799,66616,1504,9210,2181,17000,8283,3183,3770,23708,14760,11657,1895,13876,12448,6775,7292,7123,37038,8179,2609,4674,2145,131327,57542,15423,6014,13910,4370,1343,12333,9025,19819,17548,5985,10529,14522,19143,7495,53013,22849,6079,13424,3803,5776,91856,11740,5375,15191,1589,7889,10645,7992,27209,5655,43206,1956,72,5321,42747,7493,5113,3379,26151,10994,10775,1174,17340,17269,8412,50502,736,3786,479,491,10327,9582,3659,3228,5610,20314,76143,54710,36020,7640,22722,8434,99996,4687,7793,43541,34934,6692,29000,1464,75184,3124,3402,3444,16320,10241,30986,40644,4050,3702,4018,7589,24329,26533,18169,41135,21304,32895,6818,1008,3572,16492,8435,4038,8150,19793,8155,33510,1198,1830,5952,22123,23729,11452,11697,17096,908,15336,8575,6441,7897,7472,25645,7812,21680,6359,14240,10869,6788,7759,2203,19323,36120,26183,13119,193179,4029,34157,822,25689,2429,11765,8081,8951,11522,8694,5351,15400,28396,7956,4178,9308,14241,23578,13692,11296,1644,12947,1260,34450,14711,7681,3421,14597,7220,10012,29085,6959,5497,7964,30048,14300
2025-10-15 15:13:52,PrevClosePrices,13804,3575,1219,10416,5492,24777,22749,12289,13268,9223,2493,1926,13255,24420,33594,7315,23540,6185,28592,30658,855,10423,11838,1439,13991,11151,7292,10715,1001,8228,8291,4981,22181,30373,7409,6360,16155,9624,2761,12979,4942,20952,17560,3994,46936,8213,1800,21819,810,21809,18578,10098,23913,29385,3306,2991,4531,48652,18651,21639,22099,13879,1411,36051,6881,2291,26200,3465,12264,2315,12764,59003,22750,8273,3161,7506,14958,7187,3988,11585,3092,4901,8478,17765,12980,18542,34413,5152,1391,16013,19884,14156,70467,33285,9888,2726,36258,405599,3060,21430,5009,10407,9780,4758,2282,2610,7720,6290,18836,2292,3925,9839,8241,4992,14531,4990,30505,4263,9408,10711,2083,528014,4483,43922,12809,119426,5247,4380,11338,12414,23501,3472,3652,9477,5292,2703,9624,5033,27408,4175,20246,16398,7053,8336,9984,50425,51430,1850,15419,15549,5750,3947,56119,52747,6470,28463,23821,15436,5888,1376,933,9729,9075,2896,32575,15033,2280,4082,38956,6186,1190,8673,5180,2279,12897,5960,4523,8693,8842,43713,10143,9085,12798,26625,30213,16482,15875,2891,7840,1396,23599,11933,7948,2999,26718,4210,41665,7434,4708,3644,1026,5177,3949,4492,21420,10937,34155,12670,2674,1340,5141,7120,8817,31793,94651,28982,3034,3176,2002,4477,10213,17970,12012,3118,17013,23977,8398,12098,48894,6866,7573,33016,3613,18823,2321,6727,6267,4090,2640,34591,7966,15238,55466,3153,6689,2214,6152,6127,3155,27054,6820,2840,8196,7758,16088,62129,44795,9928,14877,10371,18539,15674,20615,5255,11117,1628,3436,23026,6911,17188,9558,911,1814,6703,6836,16255,2192,8366,42423,18700,4818,14165,10997,12782,33260,1124,12662,3271,1332,6620,20020,9106,27302,10189,8771,22833,35674,17021,12293,5607,9500,2022,13249,6221,35048,67389,6054,12977,3106,3644,9094,10912,14697,5479,4959,81742,6230,5329,32114,7059,12034,2525,25937,8181,37435,9666,7191,4480,3390,31991,7809,7336,10350,4167,5079,4912,6056,4738,10136,3951,23891,11739,22312,14784,1165,6029,14183,4275,4190,4981,15753,178809,4182,28575,23467,4753,24042,34317,2462,2302,12412,164951,6773,4341,15000,2226,83189,1268,5125,3041,1612,7034,5695,7778,5211,5193,5158,9734,22443,22225,3599,8308,955,4903,9477,10372,3747,3986,2063,33550,13227,30008,7234,2683,64441,3514,8197,11848,4858,13987,5969,4468,8461,5715,2321,5809,18382,2596,1546,24619,13366,1752,8647,6929,24933,77076,2491,4476,24018,95974,5413,14775,2244,7314,1544,1634,41840,38772,31299,7973,13118,29194,2990,19359,26839,2700,6592,20861,13494,2500,2854,1844,5166,2392,6339,1638,18943,42743,45658,26161,819,19303,6250,8054,3329,17252,6936,27614,15827,13516,63691,10173,16365,6167,11359,11835,9100,8596,2489,12091,7884,3563,65716,2851,7137,4667,2679,8320,20476,7723,1903,10336,43639,24673,21075,17214,24809,2345,27120,11501,15802,13381,13937,20059,10785,5382,5688,5704,4386,15412,29473,19085,30208,8295,4489,2795,2669,8221,1801,16484,2544,2139,12598,102571,12017,2731,5037,4400,47369,4366,6751,6913,4057,1549,1614,10262,31167,12000,4968,6115,1095,18727,9985,23680,881,12223,26077,27977,29999,53084,45925,15678,2983,81235,8816,50518,4025,22622,6833,7980,8120,21324,24075,32099,9279,11210,13831,7100,12706,16913,3342,4804,6416,4666,2013,15283,1782,56791,13224,3797,20053,26797,6813,14744,1780,30456,6459,78190,48125,31381,6213,9654,1913,51692,8289,70865,3245,12571,13397,6580,195612,13268,17108,65685,20702,15253,6861,6540,19489,22507,2995,9865,18312,96825,8470,2625,8622,15534,16785,55358,51357,22023,46062,8697,30067,18704,3244,130304,4293,2766,15428,13154,20538,18706,37957,3859,2375,2488,8954,23337,8464,9054,21755,78590,8452,121534,4293,6764,2072,4222,62692,1255,91126,16561,3145,29031,12055,6794,17281,12902,1491,13851,18000,8637,97,12083,773701,1945,9951,2995,2664,19791,5494,5884,12826,13543,4652,956,3965,6958,8908,14169,12900,2453,7855,5582,4954,13038,29900,4350,10305,13146,9082,3681,1676,4228,5131,17394,20756,1648,20053,12859,6609,9511,1639,7227,15127,8244,5583,25494,1717,15154,2452,8129,10352,4965,14916,24040,73648,12489,6990,2800,3311,1106,21076,11545,9473,17974,15907,18973,9188,11041,9345,31830,29545,10802,15612,3807,10050,3786,1235,2166,27214,10370,30214,8601,9250,13084,20206,8310,43160,6915,16174,2617,4750,59800,8787,1688,11112,18201,3169,10579,38398,13328,31386,7181,57260,4094,2366,2516,19700,14840,19968,18314,3261,1091,1312,16254,1692,31792,6425,27007,2746,42589,26458,1639,34401,9440,5689,51382,15526,11406,3600,3613,14313,27604,22448,15940,9114,5640,1506,2418,1703,29806,9727,22270,19107,8115,13075,9339,8200,338922,3432,8342,11107,8735,1599,6813,33527,2180,12405,10242,6320,3257,4342,2630,5311,5621,9138,33702,2249,24083,44376,4784,15500,9968,2787,7148,3958,3663,448,27902,5108,17583,48669,68351,3867,3865,66223,1531,9133,2143,16951,8288,3110,3682,23781,14697,11540,1889,14124,12317,6702,7277,7284,37000,8014,2613,4673,2134,131248,57192,15637,5927,13697,4393,1349,12228,8896,19633,17774,5996,10525,14410,18997,7428,52583,22942,6075,13328,3779,5707,90752,11626,5314,15038,1572,7804,10613,7892,27564,5548,42924,1930,73,5285,42404,7465,5073,3332,25772,10823,10810,1154,17394,16983,8376,50628,758,3658,475,488,10315,9425,3636,3187,5592,20381,75473,54101,35993,7661,22708,8405,100050,4709,7709,43361,34838,6648,28764,1448,74584,3112,3351,3304,16219,10199,30907,40346,3979,3659,3914,7577,24336,26501,17515,41222,20551,32683,6795,993,3553,16318,8410,4054,7920,19600,8211,33314,1198,1798,5944,21906,23718,11313,11649,16934,892,15224,8456,6333,7829,7404,25499,7779,21811,6236,14143,10721,6768,7845,2210,19150,36636,26117,13169,193301,3995,34331,827,25534,2390,11611,8084,8911,11459,8637,5324,15324,28151,7909,4130,9170,14234,23435,13561,11229,1604,12941,1247,33944,14657,7618,3397,14397,7231,9837,28899,6951,5527,7931,30180,14346
2025-10-15 15:13:52,Prices,13863,3623,1241,10498,5393,24972,22706,12416,12869,8945,2452,1915,13368,23979,33028,7417,23805,6371,28420,30468,861,10542,11879,1479,13666,11001,7281,10728,1002,8109,8089,5053,21548,29728,7329,6365,16200,9907,2885,12847,4891,19981,17756,3962,47782,8378,1837,22716,806,23773,18525,10099,23864,29708,3261,3104,4580,48107,18908,21481,21718,14385,1397,35649,6920,2353,25745,3485,12607,2525,12743,60325,22788,8366,3217,7651,15079,7320,3990,11709,3213,4907,8393,17930,12838,18412,35258,5228,1392,15954,20098,14272,63897,33171,9655,2755,36577,404743,3197,21460,5234,10140,9649,4767,2286,2582,7840,6259,18658,2283,4072,9888,9256,4794,14347,4899,30650,4253,9521,10886,2087,513945,4475,44439,12703,119335,5351,4353,11002,12024,23295,3458,3660,9376,5457,2713,9736,5082,28022,4211,20772,16321,7237,8350,9964,49176,51788,1831,15575,15265,5753,3935,56961,53440,6399,27727,24174,15671,5719,1437,927,9814,9029,2902,32264,14955,2275,4047,40558,6323,1204,8551,5139,2281,12638,5904,4555,8634,8686,43469,9984,9060,12845,26521,29575,17068,15671,2867,7775,1396,23185,11886,7811,2956,26774,4203,42244,7534,4636,3588,1024,5207,3986,4455,21447,11201,33718,12815,2584,1362,5149,6953,8701,31988,95582,28730,3026,3169,2090,4450,10177,18032,11903,3105,17136,23665,8302,12240,48857,6959,7545,33047,3614,18731,2325,6677,6217,4116,2665,35305,8098,15159,56101,3250,6740,2259,6180,6172,3140,27363,6830,2881,8226,7822,15996,61470,44824,9768,15424,10671,18769,15527,20695,5239,11200,1628,3556,23519,6888,17609,9639,915,1847,6819,6779,16231,2213,8263,41725,18921,4761,14259,11181,12888,34255,1098,12696,3249,1311,6511,20082,9164,27377,10234,8575,22962,34868,17531,12326,5657,9582,2058,13586,6245,35033,69134,6088,12986,3083,3799,9486,10843,14292,5548,4874,82457,6211,5510,31769,7231,12014,2545,25766,8050,38188,9734,7076,4380,3364,32212,7876,7281,10074,4150,5042,4887,6114,4784,10280,3997,24125,11766,21811,14946,1174,5963,14226,4225,4213,4977,15363,175937,4190,28463,23536,4773,23950,33082,2397,2077,12157,164419,6659,4258,15092,2156,84557,1262,5059,3051,1577,7144,5614,7537,5187,5342,5105,9816,24515,22431,3577,8336,969,4876,9462,10343,3751,3936,2129,33342,13000,30073,7293,2692,62307,3496,8192,11815,4799,13773,5735,4494,8732,5795,2349,5839,19341,2612,1546,25108,13365,1736,8614,7553,25057,76380,2551,4411,24024,95622,5411,14732,2225,7376,1547,1614,42007,38865,30891,8085,12847,28577,3016,19291,26716,2687,6593,20293,13437,2595,2873,1845,5158,2367,6333,1662,19045,43455,44506,26209,831,19236,6252,8072,3319,17331,6962,28083,15685,13602,63982,10208,16390,6239,11326,11919,9195,8805,2488,12060,7939,3705,65179,2845,7347,4689,2706,8598,20412,7694,1911,10584,43499,23624,20816,17271,24749,2346,27264,11489,16189,13626,14058,20744,11094,5448,5690,5730,4402,15429,30295,19150,30691,8285,4435,2772,2683,8442,1765,16492,2516,2180,12510,107863,12044,2760,4645,4408,46270,4422,6706,6908,4089,1554,1636,10041,30777,12033,4986,6085,1100,18647,10004,23811,878,12233,26568,28223,29051,53105,45419,15799,2976,82813,9021,50190,3945,22656,6862,7865,8164,21280,24245,32918,9266,11205,14381,7185,12698,16717,3377,4931,6435,4686,1999,15616,1802,56480,13203,3824,19852,26752,6766,14688,1779,30668,6495,78908,47995,31833,6161,9537,1937,51177,8170,71764,3229,12804,13332,6515,191362,13606,17131,64501,20309,15404,6864,6497,19291,21989,2983,9057,18427,101019,8439,2787,8869,16268,16719,54887,51360,22284,44370,8524,29725,18405,3271,130504,4316,2729,14758,13588,20595,19110,38214,3794,2377,2431,8955,23120,8584,9342,22003,78844,8628,120585,4346,6870,2090,4267,60970,1279,90466,17171,3171,29011,12216,6792,18050,12930,1518,13734,18005,8629,97,12075,767949,1955,10080,2994,2664,19430,5474,5949,12808,13610,4714,958,4019,6917,8788,14215,12511,2422,7934,5505,5028,13365,30375,4269,10227,13618,9129,3726,1699,4187,5029,17135,20670,1661,20044,12804,6475,9523,1662,7265,14916,8431,5533,25371,1719,15078,2442,8070,10412,4963,14757,22585,73392,12506,6604,2783,3329,1114,20978,12247,9419,17903,15831,18172,8914,11010,9394,31477,29154,10422,15422,3778,9969,3797,1233,2127,26808,10302,30134,8432,9397,13025,20076,8371,44127,6797,16174,2683,4742,60208,8999,1819,11219,18168,3338,10544,37247,13802,31254,7262,57513,4207,2378,2464,19334,15043,20160,17730,3230,1094,1348,16347,1684,31885,6248,27023,2658,40419,26014,1708,35102,9827,5606,50307,15686,11369,3620,3720,14647,27354,22116,15703,9243,5510,1500,2416,1690,29762,9813,22143,19607,8287,13241,9397,8234,342511,3420,8278,11190,8681,1623,6675,33493,2165,12225,10302,6313,3264,4294,2635,5424,5544,9477,33017,2271,24206,43512,4644,15608,9965,2802,7151,3989,3976,411,28701,5154,17871,48459,67778,3864,3818,66505,1501,9236,2210,17062,8067,3186,3749,23644,14672,11590,1876,13772,12508,6746,7370,7180,36934,8008,2601,4637,2126,125416,56483,15056,5967,14028,4289,1321,12198,9070,19853,17194,5789,10345,14477,19119,7470,52809,22759,6048,13419,3751,5703,93178,11731,5241,15128,1588,7833,10547,7900,26862,5601,43295,1964,72,5280,42458,7430,5088,3290,26383,10846,10880,1189,17523,17307,8279,50102,739,3740,468,483,10400,9413,3627,3257,5549,20396,75619,53857,36157,7587,22601,8413,101803,4628,7772,43373,34638,6620,28745,1443,75237,3129,3357,3560,16090,10178,30377,41084,4045,3689,4024,7406,24339,26260,18090,41117,21128,32837,6893,996,3525,16492,8441,4036,8121,19710,7856,33351,1198,1846,5826,21808,23530,12039,11723,17277,885,15008,8624,6297,7844,7381,25289,7834,21414,6381,14182,10878,6833,7626,2216,19068,36083,26314,12760,189987,4071,33977,822,25320,2382,11854,8133,8894,11543,8627,5317,15274,28431,7924,4194,9292,14260,23464,13680,11184,1658,12934,1280,34790,14620,7609,3444,14463,7320,9934,29242,7012,5363,7914,30136,14266
